81 3
-0.791938 -1.70358 -1.70996 
-1.62278 -1.91685 -2.29107 
-1.6294 -1.94254 -2.35526 
0 0 0 
-2.1581 -2.45013 -2.37259 
-2.759 -2.77649 -2.64275 
0 0 0 
0 0 0 
-1.41823 -2.44124 -1.05296 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.0344986 0 0 
0.233696 0 0 
0 0 0 
0 0 0 
2.79702 -0.959678 0.121629 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.309128 0.0839016 -0.287654 
-0.816714 -1.55401 -1.79863 
-1.70469 -2.03825 -2.29587 
0 0 0 
0 0 0 
-1.12067 -1.72761 -1.29414 
-0.970547 -1.05439 -1.20399 
0 0 0 
0 0 0 
0 0 0 
-0.334092 -0.594715 -0.207993 
0 -0.211277 0 
0 0 0 
0 0 0 
-1.19774 -0.50842 -0.116993 
-0.517632 -0.12782 1.16635 
0 0 0 
0 0 0 
3.80209 1.75794 1.90149 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.982454 2.22486 0.360645 
-0.259144 -0.599439 -0.549558 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.11814 -0.20989 -0.174428 
0 0 0 
0 0 0 
0 0 0 
-1.60827 -1.55349 -0.819347 
0.259324 -0.310764 -0.436348 
0 0 0 
0 0 0 
2.24982 0.0770173 0.321438 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.0512447 -1.63 0 
-1.03718 0 0 
0 0 0 
0 0 0 
-2.43019 -2.29651 -2.60032 
