81 3
-1.01387 -1.67868 -1.95421 
-1.70483 -2.04165 -2.38524 
-1.94562 -2.05845 -2.35526 
0 0 0 
-2.12964 -2.50258 -0.656368 
-2.60568 -2.84603 -0.228367 
0 0 0 
0 0 0 
-1.03833 -1.96501 1.27115 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0.0344986 0 0.820172 
2.79474 0 0.0654237 
0 0 0 
-0.121313 0 0 
5.22088 -1.18527 0.557364 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
3.23399 0.0839016 -0.251726 
-1.28828 -1.78388 -1.84257 
-1.71348 -2.06803 -2.38604 
0 0 0 
0 0 0 
-1.43475 -1.72761 -1.44826 
-1.20653 -1.22572 -1.36856 
0 0 0 
0 0 0 
-0.478036 -1.24921 -1.2228 
-0.607556 -0.594715 -0.630943 
0 -0.211277 0 
0 0 0 
-0.227928 1.88532 0 
0.20891 0.105727 1.0705 
0.573775 0.705389 2.49854 
-0.0797265 3.19366 0 
3.60001 0.608009 0 
3.47435 1.72782 2.38942 
0 0 0 
0 0 0 
0 0 0 
-0.487762 0.751141 -0.507779 
-0.14747 1.8122 0.0820221 
-0.20269 1.31417 -0.0814695 
-0.407218 0.505603 -0.390482 
-0.0454657 2.80357 -0.196003 
1.90212 3.21767 1.57792 
-0.507527 -0.767423 -0.549558 
-0.15717 0 0 
0 0 0 
0 0 0 
0 0 0 
-0.128171 0 0 
0 0 0 
0 0 0 
-0.151618 -0.203446 -0.164201 
-0.653502 -0.74377 -0.713752 
-0.1 0 0 
-0.1 0 0 
-0.827488 -1.58416 -0.810619 
-1.40307 -1.55349 -0.376937 
-0.890686 -0.916634 -0.209682 
5.24083 0.272471 0 
4.56597 0.176099 0 
1.59299 0.252524 0.321438 
-0.736916 -0.855645 -0.801798 
0 0 0 
0 0 0 
-1.90999 -1.8998 -2.25756 
-1.24609 -1.63 -0.956644 
-1.03718 -1.6452 -0.10904 
-1.81163 -3.01016 -1.81924 
-3.03701 -2.98121 -2.82362 
-4.42292 -3.12559 -3.9763 
